taxon_id,nombre_cientifico,nombre_comun,iconic_taxon_name,ruta
52329,Amaranthus blitum,purple amaranth,Plantae,https://static.inaturalist.org/photos/149170256/square.jpg
210230,Cerastoderma edule,Common Cockle,Mollusca,https://inaturalist-open-data.s3.amazonaws.com/photos/177541173/square.jpg
1613594,Psorodendron spinosum,Smoketree,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/2644940/square.JPG
78966,Salvia clevelandii,Cleveland Sage,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/186499414/square.jpg
53108,Lactuca virosa,bitter lettuce,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/1410302/square.JPG
8319,Pica nuttalli,Yellow-billed Magpie,Aves,https://static.inaturalist.org/photos/38094799/square.jpg
145582,Phymata fasciata,,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/99569218/square.jpeg
119492,Smerinthus cerisyi,One-eyed Sphinx,Insecta,https://static.inaturalist.org/photos/19456603/square.jpeg
47425,Tonicella lineata,Lined Chiton,Mollusca,https://inaturalist-open-data.s3.amazonaws.com/photos/222229540/square.jpg
84027,Trigonopeltastes delta,Delta Flower Scarab,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/26917775/square.jpg
54502,Juglans hindsii,northern California black walnut,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/54524/square.jpg
130220,Rubus pedatus,Five-leaf Dwarf Bramble,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/8919145/square.jpeg
119960,Berchemia scandens,Supplejack,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/1829369/square.jpg
52848,Aralia californica,California Spikenard,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/4908/square.jpg
169492,Symphyotrichum urophyllum,Arrow-leaved Aster,Plantae,https://static.inaturalist.org/photos/50930247/square.jpg
212313,Achatia distincta,Distinct Quaker,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/14240368/square.jpg
4680,Falco berigora,Brown Falcon,Aves,https://inaturalist-open-data.s3.amazonaws.com/photos/246358000/square.jpg
324758,Watsonalla binaria,Oak Hook-tip,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/70501506/square.jpg
153304,Metalectra discalis,Common Fungus Moth,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/4350415/square.jpeg
194134,Anthanassa tulcis,Pale-banded Crescent,Insecta,https://static.inaturalist.org/photos/37646803/square.jpeg
1394663,Emilia javanica,Lady's Paint Brush,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/59887488/square.jpeg
287309,Choisya ternata,Mexican orange,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/1501311/square.jpg
483281,Idaea subsericeata,Satin Wave,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/5063910/square.jpg
228444,Podabrus rugosulus,Wrinkled Soldier Beetle,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/133642692/square.jpg
308673,Leucochrysa pavida,Lichen-carrying Green Lacewing,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/33552872/square.jpg
528643,Deconica coprophila,dung-loving Deconica,Fungi,https://inaturalist-open-data.s3.amazonaws.com/photos/5753510/square.jpeg
49401,Abudefduf sexfasciatus,Scissortail Sergeant,Actinopterygii,https://inaturalist-open-data.s3.amazonaws.com/photos/237987698/square.jpg
56753,Phacelia parryi,Parry's phacelia,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/33072530/square.jpg
56054,Alchemilla vulgaris,Lady's-mantle,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/10414/square.jpg
136345,Amphiprion clarkii,Clark's Anemonefish,Actinopterygii,https://inaturalist-open-data.s3.amazonaws.com/photos/233182847/square.jpg
75429,Anchusa azurea,Italian Bugloss,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/134245868/square.jpeg
165122,Mammillaria heyderi,little nipple cactus,Plantae,https://static.inaturalist.org/photos/19623800/square.jpg
141184,Carex remota,Remote Sedge,Plantae,https://static.inaturalist.org/photos/4262345/square.jpg
53,Balearica regulorum,Gray Crowned-Crane,Aves,https://inaturalist-open-data.s3.amazonaws.com/photos/130851539/square.jpg
1095700,Cypherotylus californicus,Blue Fungus Beetle,Insecta,https://static.inaturalist.org/photos/10167658/square.jpg
76127,Carex vesicaria,inflated sedge,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/440759/square.jpg
362836,Ocyptamus fuscipennis,Dusky-winged Hover Fly,Insecta,https://static.inaturalist.org/photos/6639703/square.jpg
70005,Ilyanassa obsoleta,Eastern Mudsnail,Mollusca,https://inaturalist-open-data.s3.amazonaws.com/photos/50969230/square.jpeg
122576,Evolvulus sericeus,silky evolvulus,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/2566089/square.jpg
42240,Lama guanicoe,Guanaco,Mammalia,https://static.inaturalist.org/photos/181831616/square.jpg
362175,Sideroxylon inerme,white milkwood,Plantae,https://static.inaturalist.org/photos/15210201/square.jpg
83078,Calochortus nuttallii,Sego Lily,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/74390880/square.jpg
64239,Stuckenia pectinata,Fennel-leaf Pondweed,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/150019714/square.jpeg
